id,fname,lname,tags,linkstype1,links1,linkstype2,links2,bio,prog1,prog2
1,David,Eggert,,,,,,University of New Haven,8,
2,Christopher,Martinez,,,,,,University of New Haven,8,
3,Heidi,Ellis,,,,,,Western New England University,10,15
4,Darci,Burdge,,,,,,Nassau Community College,10,
5,Lori,Postner,,,,,,Nassau Community College,10,
6,Gregory,Hislop,,,,,,Drexel University,10,
7,Franklyn,Turbak,,,,,,Wellesley College,12,32
8,Shaileen,Pokress,,,,,,Massachusetts Institute of Technology,12,32
9,Mark,Sherman,,,,,,University of Massachusetts Lowell,12,32
10,Darren,Lim,,,,,,Siena College,14,50
11,Timoth,Lederman,,,,,,Siena College,14,
12,Stoney,Jackson,,,,,,Western New England University,15,
13,Karl,Wurst,,,,,,Worcester State University,15,
14,Joanmarie,Diggs,,,,,,Gnome Foundation,15,
15,Jim,Hendler,,url,http://www.cs.rpi.edu/~hendler/,img,http://www.cs.rpi.edu/~hendler/hendler2008.jpg," Jim Hendler is the Director of the Institute for Data Exploration and Applications and the Tetherless World Professor of Computer, Web and Cognitive Sciences at RPI.  An early researcher in the _Semantic Web area,_ Hendler was the recipient of a 1995 Fulbright Foundation Fellowship, is a former member of the US Air Force Science Advisory Board, and is a Fellow of the American Association for Artificial Intelligence, the British Computer Society, the IEEE and the AAAS and was the first computer scientist to serve on the Board of Reviewing editors for Science. Hendler  is also the former Chief Scientist of the Information Systems Office at the US Defense Advanced Research Projects Agency (DARPA) and was awarded a US Air Force Exceptional Civilian Service Medal in 2002.   In 2010, Hendler was named one of the 20 most innovative professors in America by Playboy magazine and was selected as an _Internet Web Expert_ by the US government. In 2012, he was one of the inaugural recipients of the Strata Conference _Big Data_ awards for his work on large-scale open government data, and he is a columnist and associate editor of the Big Data journal. In 2013, Governor Andrew Cuomo appointed Hendler to be New York State_s Open Data Advisor.",18,
16,Joan,DeBello,,,,,,Session Chair,20,
17,Namita,Sarawagi,,,,,,Rhode Island College,21,54
18,Ed,Lamagna,,,,,,University of Rhode Island,22,
19,Susan,Imberman,,,,,,College of Staten Island,23,
20,Deborah,Sturm,,,,,,College of Staten Island,23,
21,Mohammed,Azhar,,,,,,Borough of Manhattan Community College,23,
22,Rajesh,Prasad,,,,,,Saint Anselm College,24,33
23,Carol,Traynor,,,,,,Saint Anselm College,24,33
24,Alice,Fisher,,,,,,Session Chair,25,
25,Timothy,Hickey,,,,,,Brandeis University,26,
26,William,Tarimo,,,,,,Brandeis University,26,
27,Penn,Wu,,,,,,DeVry University,27,
28,Christopher,Stuetzle,,,,,,Merrimack College,28,
29,Daniel,Rogers,,,,,,Session Chair,30,
30,Michael,Jonas,,,,,,University of New Hampshire at Manchester,31,
31,Fred,Martin,,,,,,University of Massachusetts Lowell,32,
32,David,Wolber,,,,,,University of San Francisco,32,
33,Greg,Pleva,,,,,,Southern Oregon University,34,
34,Mehran,Sahami,,url,http://robotics.stanford.edu/~sahami/bio.html,,,"Mehran Sahami is a Professor and Associate Chair for Education in the Computer Science department, and the Robert and Ruth Halperin University Fellow in Undergraduate Education at Stanford University. Prior to joining the Stanford faculty, he was a Senior Research Scientist at Google for several years. His research interests include computer science education, machine learning, and web search. He is co-chair of the ACM/IEEE-CS joint task force on Computer Science Curricula 2013 (CS2013). He has published over 40 technical papers and has over 20 patent filings. He received his BS, MS, and Ph.D. in Computer Science from Stanford University.",41,
35,Adrian,Ionescu,,,,,,Session Chair,42,
36,Andrea,Lobo,,,,,,Rowan University,43,
37,Ganesh ,Baliga,,,,,,Rowan University,43,
38,Drue,Coles,,,,,,Bloomsberg University,44,
39,Lisa,Michaud,,,,,,Merrimack College,45,
40,James,Heliotis,,,,,,Rochester Institute of Technology,46,
41,Ivona,Bezakova,,,,,,Rochester Institute of Technology,46,
42,Sean,Strout,,,,,,Rochester Institute of Technology,46,
43,Matthew,Dickerson,,,,,,Middlebury College,47,33
44,Stephen,Bloch,,,,,,Adelphi University,47,
45,Peter,DePasquale,,,,,,The College of New Jersey,47,
46,Amruth,Kumar,,,,,,Ramapo College of New Jersey,47,
47,Stan,Kurkovsky,,,,,,Central Connecticut State University,47,
48,Clif,Kussmaul,,,,,,Muhlenberg College,47,
49,Yana ,Kortsarts,,,,,,Session Chair,49,
50,Gili,Rusak,,,,,,Siena College,50,
51,Derrell,Lipman,,,,,,University of Massachusetts Lowell,51,
52,Duo (Helen),Wei,,,,,,Richard Stockton College of New Jersey,52,
53,Sen,Zhang,,,,,,SUNY Oneonta,52,
54,Charles,Dierbach,,,,,,Towson University,53,
