id,title,tag1,tag2,tag3,date,time,mins,loc,pid1,people1,pid2,people2,pid3,people3,pid4,people4,pid5,people5,pid6,people6,desc
1,Registration and hospitalities,Registration,,,2014-04-25,10:00,360,Slavin Center outside '64 Hall,,,,,,,,,,,,,
2,Programming Contest: Registration of teams,Programming Contest,,,2014-04-25,08:00,60,Accinno Hall Lobby,,,,,,,,,,,,,
3,Programming Contest: Hospitalities,Programming Contest,,,2014-04-25,08:00,60,Accinno Hall Room 201,,,,,,,,,,,,,
4,Programming Contest: Initial meeting & presentation of problems,Programming Contest,,,2014-04-25,09:00,15,Accinno Hall Lobby,,,,,,,,,,,,,
5,Programming Contest,Programming Contest,,,2014-04-25,09:15,165,"Accinno Hall Rooms 100, 202, 207",,,,,,,,,,,,,
6,Programming Contest: Lunch,Programming Contest,,,2014-04-25,12:00,30,Accinno Hall Room 201,,,,,,,,,,,,,
7,Workshop 1: Registration & Breakfast,Workshop,,,2014-04-25,08:00,60,Slavin Center outside '64 Hall,,,,,,,,,,,,,
8,Workshop 1: Using the NAO Humanoid Robot in the Classroom,Workshop,,,2014-04-25,09:00,180,Slavin Center Room LL 19,1,David Eggert,2,Christopher Martinez,,,,,,,,,
9,Workshop 2: Registration & Breakfast,Workshop,,,2014-04-25,08:00,60,Library Room 233,,,,,,,,,,,,,
10,Workshop 2: Getting Started in Open Source - A Tour of a Real Project,Workshop,,,2014-04-25,09:00,180,Library Room 233,3,Heidi Ellis,4,Darci Burdge,5,Lori Postner,6,Gregory Hislop,,,,,
11,Workshop 3: Registration & Breakfast,Workshop,,,2014-04-25,08:00,60,Slavin Center outside '64 Hall,,,,,,,,,,,,,
12,Workshop 3: Mobile Computational Thinking with App Inventor 2,Workshop,,,2014-04-25,09:00,180,Alumni Hall Alumni Private Dining Room,7,Franklyn Turbak,8,Shaileen Pokress,9,Mark Sherman,,,,,,,
13,Workshop 4: Registration & Breakfast,Workshop,,,2014-04-25,08:00,60,Slavin Center outside '64 Hall,,,,,,,,,,,,,
14,Workshop 4: Teaching Life Lessons in a Capstone Course: Software Engineering as a Finishing School,Workshop,,,2014-04-25,09:00,180,Slavin Center Room 112,10,Darren Lim,11,Timoth Lederman,,,,,,,,,
15,Hackfest,Hackfest,,,2014-04-25,14:30,570,"Accinno Hall Rooms 100, 202, 207",3,Heidi Ellis,12,Stoney Jackson,13,Karl Wurst,14,Joanmarie Diggs,,,,,
16,Hackfest: Check-In & Hospitalities,Hackfest,,,2014-04-25,14:30,570,Accinno Hall Room 201,,,,,,,,,,,,,
17,Welcome Address,Plenary,,,2014-04-25,13:00,15,Slavin Center '64 Hall,,,,,,,,,,,,,
18,Big Data Meets Computer Science,Plenary,,,2014-04-25,13:15,60,Slavin Center '64 Hall,15,Jim Hendler,,,,,,,,,,,"<b>Abstract: </b>As _big data_ moves from buzzword to practice, campus departments must increasingly figure out where data science fits into their curricula. Clearly such an interdisciplinary area crosses traditional boundaries ranging from statistics traditionally taught in mathematics or engineering departments, a new method of scientific discovery for biologists and chemists, a new challenge for ethicists and political scientists, and a new realm for design and electronic arts, etc.  Within computer science departments, it currently seems to reside in the machine learning and knowledge discovery areas where the metaphor of big data as _the new oil_ to be mined is pursued.  In this talk, however, I opine that just as oil is important for the energy it generates, which powers the technologies of modern life, data is increasingly important for the information it generates, which will power the information applications of the future.  We will explore some of these emerging trends, ranging from high performance modeling to the Watson AI system, looking at what we might want to be teaching our students if they are to be leaders in this emerging area."
19,Break,Break,,,2014-04-25,14:15,15,Slavin Center outside '64 Hall,,,,,,,,,,,,,
20,Paper Session 1A: Algorithmic/Computational Thinking,Paper,Session 1A,,2014-04-25,14:30,75,Slavin Center Room LL 01,16,Joan DeBello (Session Chair),,,,,,,,,,,
21,A Flipped CS0 Classroom: Applying Bloom's Taxonomy to Algorithmic Thinking,Paper,Session 1A,,2014-04-25,14:30,25,Slavin Center Room LL 01,17,Namita Sarawagi,,,,,,,,,,,
22,Problem Solving and Algorithmic Thinking,Paper,Session 1A,,2014-04-25,14:55,25,Slavin Center Room LL 01,18,Ed Lamagna,,,,,,,,,,,
23,Computational Thinking Expanding the Toolkit,Paper,Session 1A,,2014-04-25,15:20,25,Slavin Center Room LL 01,19,Susan Imberman,20,Deborah Sturm,21,Mohammed Azhar,,,,,,,
24,Tutorial Session 1B: Creating a GPS/GIS Technologies Course Module Using Google Earth,Tutorial,Session 1B,,2014-04-25,14:30,75,Slavin Center Room 112,22,Rajesh Prasad,23,Carol Trayner,,,,,,,,,
25,Paper Session 1C: Alternative Approaches,Paper,Session 1C,,2014-04-25,14:30,75,Slavin Center Room LL 03,24,Alice Fisher (Session Chair),,,,,,,,,,,
